slug	url	file	status
installing_on_ibm_power	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/installing_on_ibm_power	html/installing_on_ibm_power.html	skipped
installing_on_ibm_power_virtual_server	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/installing_on_ibm_power_virtual_server	html/installing_on_ibm_power_virtual_server.html	skipped
installing_on_ibm_powervc	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/installing_on_ibm_powervc	html/installing_on_ibm_powervc.html	skipped
installing_on_ibm_z_and_ibm_linuxone	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/installing_on_ibm_z_and_ibm_linuxone	html/installing_on_ibm_z_and_ibm_linuxone.html	skipped
installing_on_nutanix	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/installing_on_nutanix	html/installing_on_nutanix.html	skipped
installing_on_openstack	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/installing_on_openstack	html/installing_on_openstack.html	skipped
installing_on_oracle_database_appliance	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/installing_on_oracle_database_appliance	html/installing_on_oracle_database_appliance.html	skipped
installing_on_oracle_distributed_cloud	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/installing_on_oracle_distributed_cloud	html/installing_on_oracle_distributed_cloud.html	skipped
installing_on_oracle_edge_cloud	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/installing_on_oracle_edge_cloud	html/installing_on_oracle_edge_cloud.html	skipped
installing_on_vmware_vsphere	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/installing_on_vmware_vsphere	html/installing_on_vmware_vsphere.html	skipped
jenkins	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/jenkins	html/jenkins.html	skipped
kubernetes_nmstate	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/kubernetes_nmstate	html/kubernetes_nmstate.html	skipped
logging	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/logging	html/logging.html	skipped
machine_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/machine_apis	html/machine_apis.html	skipped
machine_configuration	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/machine_configuration	html/machine_configuration.html	skipped
machine_management	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/machine_management	html/machine_management.html	skipped
metadata_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/metadata_apis	html/metadata_apis.html	skipped
migrating_from_version_3_to_4	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/migrating_from_version_3_to_4	html/migrating_from_version_3_to_4.html	skipped
monitoring	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/monitoring	html/monitoring.html	skipped
monitoring_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/monitoring_apis	html/monitoring_apis.html	skipped
multiple_networks	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/multiple_networks	html/multiple_networks.html	skipped
network_apis	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/network_apis	html/network_apis.html	skipped
network_observability	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/network_observability	html/network_observability.html	skipped
network_observability_operator	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/network_observability_operator	html/network_observability_operator.html	skipped
network_security	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/network_security	html/network_security.html	skipped
networking_operators	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/networking_operators	html/networking_operators.html	skipped
networking_overview	https://docs.redhat.com/en/documentation/openshift_container_platform/4.22/html/networking_overview	html/networking_overview.html	skipped
